videoId,publishedAt,title,channelId,channelTitle,categoryId,liveBroadcastContent,description,viewCount,likeCount,favoriteCount,commentCount,duration,caption,topicCategories,licensedContent,contentRating
aEjacXsS0VU,2021-07-20T14:10:02Z,Lộ trình học đại học CNTT trong 60s #shorts,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Lộ trình học đại học CNTT/lập trình trong 60s\N\NChuỗi bài viết chi tiết hơn về quá trình học đại học của mình: https://phuctm97.medium.com/so3-thachthuc100baiviet-toi-da-thay-doi-muc-tieu-thu-nhap-sau-ra-truong-len-gap-6-lan-sau-4-nam-dai-hoc-p1-22310d0c5759\N\NTuần này mình hơi bận với sản phẩm trên Twitter tí và sẵn YouTube vừa ra Short cho iOS nên thử nghiệm video ngắn này nhé, cũng khá bổ ích đấy 😉\N\NFacebook: https://facebook.com/phuctm97\NInstagram: https://instagram.com/phuctm97\NTwitter: https://twitter.com/phuctm97\NViệc Internet: https://viecinternet.com",6891,308,0,33,0:00:50,false,,False,{}
ouNN0PBYaVU,2021-07-13T14:54:55Z,"#livestream1 Trả Lời 100 Câu Hỏi Về Lập Trình Và Công Việc, Tìm Video Editor",UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Chào mọi người đến buổi livestream đầu tiên của mình!\N\NNội dung:\N- Trả lời 100+ câu hỏi về lập trình, học tập, công việc, và phát triển bản thân mình nhận được trong tháng vừa qua\N- Tìm video editor\N- Cập nhật thay đổi và kế hoạch YouTube của mình\N\NGửi câu hỏi: https://ask1.phuctm97.com\NViệc Internet: https://viecinternet.com\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",3617,137,0,12,1:19:21,false,,False,{}
oB62GaDVLuc,2021-07-06T12:00:28Z,100 Website Giúp Bạn Kiếm Tiền Online,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Việc Internet: https://viecinternet.com\N\NTrang web miễn phí tổng hợp các cách và nền tảng khác nhau giúp bạn kiếm tiền online, ở nhà, theo thời gian, và chủ đề bạn thích. Hi vọng sẽ giúp được mọi người, đặc biệt là những bạn trẻ muốn làm chủ bản thân có được công việc ưa thích, theo thời gian ưa thích. Like và chia sẻ để cùng giúp đỡ lẫn nhau nhé!\N\NNếu bạn có câu hỏi hay thắc mắc thì cứ hỏi ở link trong trang web hoặc bình luận bên dưới. Mọi đóng góp hay góp ý mình đều trân trọng vì nó giúp trang web trở nên đa dạng và hữu ích hơn nha!\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",9660,553,0,59,0:10:12,false,,False,{}
H7ZxjyOED1M,2021-06-29T13:30:27Z,Tự Học Lập Trình Web Miễn Phí,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Hướng dẫn bắt đầu tự học lập trình web với lộ trình chi tiết, sử dụng 1 website duy nhất, hoàn toàn miễn phí, được sử dụng và đóng góp bởi các lập trình viên và công ty hàng đầu như Apple, Google, Amazon, v.v. Kết hợp vừa học lập trình vừa học tiếng Anh.\N\NFreeCodeCamp: https://freecodecamp.org/\NVideo Bắt Đầu Với HTML/Web: https://youtu.be/pQN-pnXPaVg\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",11116,549,0,56,0:12:26,false,,False,{}
jUy6dnV0xT4,2021-06-22T12:13:37Z,Mình bắt đầu tự học lập trình từ con số 0 như thế nào?,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Trả lời câu hỏi mình nhận được nhiều nhất: Mình bắt đầu tự học lập trình như thế nào?\N\NHi vọng sẽ truyền được cảm hứng và một số bài học cho những bạn đang muốn bắt đầu. Video thu trực tiếp 1 lần duy nhất bằng điện thoại, không kịch bản, hi vọng câu chuyện đủ chân thật và thú vị để mọi người bỏ qua các lỗi kỹ thuật. Cảm ơn mọi người!\N\NÀ, nếu vẫn chưa quyết định được ngôn ngữ lập trình nào để học. Thì học JavaScript nhé! Mình chỉ chọn giúp bạn thôi, không có lý do gì đặc biệt cả, ngôn ngữ nào cũng chỉ là một công cụ để bắt đầu thôi!\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",30509,917,0,65,0:13:53,false,,False,{}
FGJdlhCeRc8,2021-06-15T11:00:10Z,"Cách Mình Xây Dựng App Đầu Tiên 50,000 Lượt Tải Và Bài Học",UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,Vừa ăn bơ vừa chia sẻ mọi người câu chuyện mình vấn thân vào con đường IT vì lỡ up con app đầu tiên :) và vô tình có 50k lượt tải cùng một số bài học cho các bạn muốn bắt đầu.\N\NCác bài viết về sản phẩm của mình:\Nhttps://gamek.vn/esport/xuat-hien-ban-pes-2016-cuc-khung-do-chinh-tay-nguoi-viet-lam-ra-20160224124420443.chn\Nhttps://www.pes-patch.com/pes-2015-dpfilelist-smart-update-v0-5-by-phuc-kido-proitboy/\Nhttps://www.pes-patch.com/pes-2015-dpfilelist-v1-2-by-phuc-kido-proitboy/\Nhttps://www.pes-patch.com/pes-2015-dpfilelist-v1-4-by-phuc-kido-proitboy/\Nhttps://www.pes-patch.com/dpfilelist-update-v1-6-by-proitboy/\Nhttps://www.pes-patch.com/pes-2015-dpfilelist-update-v1-8-by-proitboy/\Nhttps://www.google.com/search?q=dpfilelist+update\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97,5255,254,0,33,0:11:34,false,,False,{}
4kaHAszUs90,2021-06-08T11:30:11Z,Cách Học Tiếng Anh Cho Người Mới Bắt Đầu (Talk To Myself #1),UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Cách học tiếng Anh cho người mới bắt đầu dựa trên kinh nghiệm bản thân của mình. Có phụ đề tiếng Anh lẫn tiếng Việt, mọi người bật nếu cần nhé!\N\NVideo tiếng Anh đầu tiên và không có kịch bản nên mọi người thông cảm nếu chất lượng hơi dởm nhé :)\N\NỨng dụng học tiếng Anh miễn phí: https://www.duolingo.com\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",5261,319,0,42,0:10:19,true,,False,{}
LJiUIJOFyhU,2021-06-01T11:00:12Z,$3-4k ngành IT có khó? Cách trở nên nổi bật hơn? Q&A 5000,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Q&A 17 câu hỏi về đề tài IT, lập trình, học tập và phát triển bản thân. Cảm ơn 5000+ bạn đầu tiên đã ủng hộ mình nha, sẽ có nhiều nội dung bổ ích nữa cho mọi người 💚\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NFreecodecamp: https://freecodecamp.org\NCodecademy: https://www.codecademy.com\NVideo của Ashley: https://youtu.be/b1N4lm0R8q8",11260,539,0,76,0:22:45,false,,False,{}
XYLVQthtawU,2021-05-23T15:17:56Z,"Nói chuyện IT. Tự học hay Đại học? Trường nào, Ngành nào?",UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Học IT ở Việt Nam thì học Đại học trường nào, ngành nào? Có tự học được không?\N\NHôm nay mình hơi bận nên là video chỉ ngồi nói chuyện chém gió, không chỉnh chu lắm, nhưng hi vọng là nội dung sẽ bổ ích 😁\N\NCác trang tạo blog:\Nhttps://medium.com\Nhttps://hashnode.com\Nhttps://dev.to\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",9808,528,0,96,0:10:23,false,,False,{}
5yiDbDW5Y5c,2021-05-17T11:00:18Z,5 Hack Giúp Bạn Tìm Việc Thành Công,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"5 thủ thuật mình dùng khi viết hồ sơ/CV tìm việc, áp dụng được cho các ngành sáng tạo và công nghệ.\N\NLinkedIn: https://linkedin.com/in/phuctm97\NCV của mình: https://resume.phuctm97.com\N\NMẫu CV: https://notion.so/CV-Template-Your-Name-5e58e516f91a4e51bbec05f256c527b5\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97\N\NĐừng quên đăng ký kênh và chia sẻ để cùng xem những video tiếp theo nhé 💚",11916,739,0,111,0:13:08,false,,False,{}
F5Pd0BX9T5Q,2021-05-09T12:46:12Z,Quá trình chi tiết mình apply việc 6 số USD ở Việt Nam,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Cách đây 6 tháng mình bắt apply công việc từ xa ở thị trường quốc tế (Mỹ, Singapore, Châu Âu), mình chia sẻ quá trình chi tiết ở đây, hi vọng sẽ giúp được mọi người.\N\NĐăng ký kênh, like, và chia sẻ để mọi người biết là họ cũng có thể làm được nhé 💚\N\NTheo dõi cho nội dung mỗi ngày:\N- Tiếng Việt:\NInstagram: https://instagram.com/phuctm97\NFacebook: https://facebook.com/phuctm97\N- Tiếng Anh:\NTwitter: https://twitter.com/phuctm97",95848,3134,0,252,0:22:05,false,,False,{}
pZmp8Y0q1JI,2021-05-02T18:16:19Z,Có gì vui ở YouTube của một Kỹ sư Việt Nam,UCRDt3ECLjvUWTAzYjGBwTxA,Minh-Phuc Tran,22,none,"Chào mọi người mình là Phúc, mình hiện đang là một Senior Software Engineer cùng với một số side projects nhỏ. Mình chia sẻ hành trình, kinh nghiệm, và kỹ năng mình học được trên channel này, hi vọng sẽ giúp được mọi người.\N\NNội dung tiếng Việt:\N- Instagram: https://www.instagram.com/phuctm97/\N- Facebook:  https://www.facebook.com/phuctm97/\N\NNội dung tiếng Anh:\N- Twitter: https://twitter.com/phuctm97/",27939,1111,0,171,0:03:37,false,,False,{}
